# This file was created by gnuFile.py version  $Revision: 632 $ on Fri Jul 17 11:32:42 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.engin.umich.edu$ GetData5E4.py
# 
# =============================================================================
# 
#  1            2             3            4             5            6            7             8            9            10            11           12           13            14           15            16           17            18           19           
# |-        Tracks        -| |-         Time         -| |-            Eigenvalue-0           -| |-            Eigenvalue-1           -| |-            Eigenvalue-2           -| |-        FOM-0         -| |-        FOM-1         -| |-        FOM-2         -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   0            2.5E+08       0            788.18        0            0.99762      0.00038721    0            0.98955      0.00039861    0            0.97682      0.00041979    0            8462.2        0            7984.9        0            7199.7       
   1E-08        2.5E+08       1E-08        784.07        1E-08        0.99753      0.00036274    1E-08        0.98923      0.00039353    1E-08        0.97698      0.0004392     1E-08        9693          1E-08        8235.5        1E-08        6612         
   2.5E-08      2.5E+08       2.5E-08      784.12        2.5E-08      0.99728      0.00031735    2.5E-08      0.98949      0.00033258    2.5E-08      0.97691      0.00040936    2.5E-08      12663         2.5E-08      11530         2.5E-08      7610.3       
   5E-08        2.5E+08       5E-08        781.32        5E-08        0.99724      0.0003338     5E-08        0.98944      0.00035476    5E-08        0.97669      0.00031482    5E-08        11487         5E-08        10170         5E-08        12914        
   7.5E-08      2.5E+08       7.5E-08      782.28        7.5E-08      0.99753      0.00029567    7.5E-08      0.98961      0.00035902    7.5E-08      0.97677      0.00035398    7.5E-08      14622         7.5E-08      9917.4        7.5E-08      10202        
   1E-07        2.5E+08       1E-07        782.24        1E-07        0.99738      0.00032127    1E-07        0.99002      0.00036174    1E-07        0.97716      0.00043579    1E-07        12386         1E-07        9769.6        1E-07        6731.5       
   2.5E-07      2.5E+08       2.5E-07      783.03        2.5E-07      0.99768      0.0003605     2.5E-07      0.98987      0.00034615    2.5E-07      0.97669      0.00040606    2.5E-07      9827          2.5E-07      10658         2.5E-07      7745.2       
   5E-07        2.5E+08       5E-07        782.17        5E-07        0.99779      0.00034217    5E-07        0.98958      0.00032181    5E-07        0.9775       0.00039072    5E-07        10920         5E-07        12345         5E-07        8374.6       
   7.5E-07      2.5E+08       7.5E-07      781.97        7.5E-07      0.99714      0.00032715    7.5E-07      0.98907      0.00036426    7.5E-07      0.97693      0.00043275    7.5E-07      11949         7.5E-07      9638.3        7.5E-07      6828.6       
   2.5E-06      2.5E+08       2.5E-06      786.88        2.5E-06      0.9966       0.00035186    2.5E-06      0.98912      0.00033041    2.5E-06      0.97785      0.00041719    2.5E-06      10265         2.5E-06      11641         2.5E-06      7301.6       
   7.5E-06      2.4999E+08    7.5E-06      782.41        7.5E-06      0.99777      0.00038569    7.5E-06      0.9886       0.00036015    7.5E-06      0.97736      0.00047114    7.5E-06      8591.8        7.5E-06      9853.8        7.5E-06      5758         
   1E-05        2.5E+08       1E-05        781.22        1E-05        0.997        0.00031987    1E-05        0.98878      0.00040973    1E-05        0.97681      0.00037738    1E-05        12510         1E-05        7625          1E-05        8988.2       
   2.5E-05      2.499E+08     2.5E-05      781.92        2.5E-05      0.99737      0.00036157    2.5E-05      0.98925      0.00032705    2.5E-05      0.9768       0.00042277    2.5E-05      9782.7        2.5E-05      11957         2.5E-05      7155.3       
   5E-05        2.4898E+08    5E-05        780.57        5E-05        0.99748      0.00028704    5E-05        0.98987      0.00035294    5E-05        0.9763       0.00044787    5E-05        15550         5E-05        10285         5E-05        6386.8       
