# This file was created by gnuplotFile.py version $Revision: 67 $ on Thu May 31 14:01:53 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# 
# 1000         1000        5000         5000        100000       100000      10000        10000       50000        50000       
# x-coord      y-coord     x-coord      y-coord     x-coord      y-coord     x-coord      y-coord     x-coord      y-coord     
  1            1.5706E-05  1            4.3079E-06  1            1.7642E-07  1            1.8431E-06  1            4.2365E-07  
  2            9.236E-06   2            2.0455E-06  2            9.1516E-08  2            9.3217E-07  2            1.6157E-07  
  3            6.2036E-06  3            1.3126E-06  3            9.9046E-08  3            7.3885E-07  3            1.5871E-07  
  4            5.269E-06   4            1.2985E-06  4            5.6955E-08  4            6.0806E-07  4            1.1465E-07  
  5            1.1326E-05  5            9.8743E-07  5            5.4239E-08  5            4.9043E-07  5            9.0868E-08  
  6            9.1821E-06  6            7.5936E-07  6            3.5476E-08  6            3.7014E-07  6            8.1991E-08  
  7            1.7758E-05  7            6.1158E-07  7            3.6431E-08  7            3.39E-07    7            6.6758E-08  
  8            1.2566E-05  8            5.2742E-07  8            3.3655E-08  8            2.6677E-07  8            4.9244E-08  
  9            8.5377E-06  9            4.6253E-07  9            2.9551E-08  9            2.2083E-07  9            4.2004E-08  
  10           6.0191E-06  10           4.3691E-07  10           2.9288E-08  10           1.9996E-07  10           3.5515E-08  
