# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../PowerResearch --verbose 2 --width 20 --multimedia --inactive 1250 --active 1250 --seed 0 --bins 300 --run --tracks 10000\n -f Multimedia/Tracks/PowerEntropy.t10000.dat , seed = 1639638909
# Arguments: source = Bank, run = true, filename = Multimedia/Tracks/PowerEntropy.t10000.dat, multimedia = true, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 300, active = 1250, inactive = 1250, tracks = 10000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5             6            7             8            9             10           11            12           13           
# |-            Power values           -| |-   Power raw values   -| |-        Entropy       -| |-      Power-Time      -| |-       FOM-Power      -| |-     Power vector     -| 
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   10000        0.2908       0             10000        0.2908        10000        3.41745       10000        0.01756       1.251E+07    0             0.015        0.107323      
   20000        0.395081     0             20000        0.395081      20000        3.51726       20000        0.043579      1.252E+07    3599.62       0.045        0.117271      
   30000        0.424238     0             30000        0.424238      30000        3.51697       30000        0.073215      1.253E+07    5856.49       0.075        0.125845      
   40000        0.417026     0             40000        0.417026      40000        3.51477       40000        0.099859      1.254E+07    10230.5       0.105        0.133357      
   50000        0.424157     0             50000        0.424157      50000        3.51206       50000        0.125701      1.255E+07    12930.6       0.135        0.140751      
   60000        0.423012     0             60000        0.423012      60000        3.51536       60000        0.152331      1.256E+07    12167.4       0.165        0.147016      
   70000        0.418062     0             70000        0.418062      70000        3.52716       70000        0.177913      1.257E+07    16452         0.195        0.15289       
   80000        0.423037     0             80000        0.423037      80000        3.52551       80000        0.204358      1.258E+07    21449.1       0.225        0.158383      
   90000        0.427352     0             90000        0.427352      90000        3.51855       90000        0.229825      1.259E+07    26702.9       0.255        0.162819      
   100000       0.423634     0             100000       0.423634      100000       3.51342       100000       0.256375      1.26E+07     31726.7       0.285        0.167944      
   110000       0.427532     0             110000       0.427532      110000       3.51547       110000       0.282218      1.261E+07    27050.3       0.315        0.171597      
   120000       0.424197     0             120000       0.424197      120000       3.52158       120000       0.30892       1.262E+07    14303.6       0.345        0.175761      
   130000       0.428185     0             130000       0.428185      130000       3.51714       130000       0.334841      1.263E+07    14038.2       0.375        0.179017      
   140000       0.43131      0             140000       0.43131       140000       3.52151       140000       0.361364      1.264E+07    16268.8       0.405        0.181619      
   150000       0.41436      0             150000       0.41436       150000       3.51954       150000       0.387918      1.265E+07    18630.4       0.435        0.183931      
   160000       0.413987     0             160000       0.413987      160000       3.52312       160000       0.413695      1.266E+07    17087         0.465        0.186087      
   170000       0.414277     0             170000       0.414277      170000       3.53094       170000       0.440095      1.267E+07    18764.8       0.495        0.187796      
   180000       0.430185     0             180000       0.430185      180000       3.51503       180000       0.465618      1.268E+07    19551.5       0.525        0.18864       
   190000       0.429282     0             190000       0.429282      190000       3.5184        190000       0.492707      1.269E+07    21274.5       0.555        0.189306      
   200000       0.431514     0             200000       0.431514      200000       3.52107       200000       0.518296      1.27E+07     23340.4       0.585        0.19015       
   210000       0.42914      0             210000       0.42914       210000       3.52011       210000       0.544837      1.271E+07    22798         0.615        0.189911      
   220000       0.418755     0             220000       0.418755      220000       3.5186        220000       0.570052      1.272E+07    24983.8       0.645        0.189309      
   230000       0.429978     0             230000       0.429978      230000       3.51901       230000       0.596911      1.273E+07    21652.5       0.675        0.188418      
   240000       0.427957     0             240000       0.427957      240000       3.51945       240000       0.622869      1.274E+07    23540.5       0.705        0.187325      
   250000       0.424277     0             250000       0.424277      250000       3.51874       250000       0.649512      1.275E+07    24494         0.735        0.185174      
   260000       0.420585     0             260000       0.420585      260000       3.51652       260000       0.675344      1.276E+07    18333.3       0.765        0.181703      
   270000       0.414823     0             270000       0.414823      270000       3.51863       270000       0.701362      1.277E+07    19606.9       0.795        0.179116      
   280000       0.42984      0             280000       0.42984       280000       3.52262       280000       0.728418      1.278E+07    20341.6       0.825        0.175602      
   290000       0.415053     0             290000       0.415053      290000       3.52164       290000       0.755301      1.279E+07    21387         0.855        0.172744      
   300000       0.425762     0             300000       0.425762      300000       3.53008       300000       0.782395      1.28E+07     22197.4       0.885        0.167702      
   310000       0.425762     0             310000       0.425762      310000       3.54378       310000       0.808879      1.281E+07    23682.9       0.915        0.162751      
   320000       0.414139     0             320000       0.414139      320000       3.55127       320000       0.836181      1.282E+07    24668.1       0.945        0.156816      
   330000       0.428758     0             330000       0.428758      330000       3.55277       330000       0.862883      1.283E+07    24989.7       0.975        0.15027       
   340000       0.424985     0             340000       0.424985      340000       3.54444       340000       0.890861      1.284E+07    26342.5       1.005        0.0483332     
   350000       0.420607     0             350000       0.420607      350000       3.54897       350000       0.917113      1.285E+07    27726.5       1.035        0             
   360000       0.422037     0             360000       0.422037      360000       3.55239       360000       0.94437       1.286E+07    29228.8       1.065        0             
   370000       0.427186     0             370000       0.427186      370000       3.55778       370000       0.971087      1.287E+07    30446.9       1.095        0             
   380000       0.430091     0             380000       0.430091      380000       3.5715        380000       0.999146      1.288E+07    31930.9       1.125        0             
   390000       0.416242     0             390000       0.416242      390000       3.5661        390000       1.02562       1.289E+07    32003.8       1.155        0             
   400000       0.427439     0             400000       0.427439      400000       3.55349       400000       1.05413       1.29E+07     32006.3       1.185        0             
   410000       0.416411     0             410000       0.416411      410000       3.54895       410000       1.08083       1.291E+07    30692.2       1.215        0             
   420000       0.423573     0             420000       0.423573      420000       3.5406        420000       1.10889       1.292E+07    32115.1       1.245        0             
   430000       0.419761     0             430000       0.419761      430000       3.54472       430000       1.13417       1.293E+07    32970.4       1.275        0             
   440000       0.432732     0             440000       0.432732      440000       3.54697       440000       1.16159       1.294E+07    34324.3       1.305        0             
   450000       0.415293     0             450000       0.415293      450000       3.54551       450000       1.18722       1.295E+07    35873.7       1.335        0             
   460000       0.414504     0             460000       0.414504      460000       3.55339       460000       1.21329       1.296E+07    37383.7       1.365        0             
   470000       0.422504     0             470000       0.422504      470000       3.56326       470000       1.23992       1.297E+07    38479.5       1.395        0             
   480000       0.419462     0             480000       0.419462      480000       3.56828       480000       1.26599       1.298E+07    39766.1       1.425        0             
   490000       0.42655      0             490000       0.42655       490000       3.57127       490000       1.29289       1.299E+07    39474         1.455        0             
   500000       0.431541     0             500000       0.431541      500000       3.58132       500000       1.31808       1.3E+07      40353.3       1.485        0             
   510000       0.424291     0             510000       0.424291      510000       3.57764       510000       1.34497       1.301E+07    41359.8       1.515        0             
   520000       0.436087     0             520000       0.436087      520000       3.57014       520000       1.37091       1.302E+07    42115         1.545        0             
   530000       0.419472     0             530000       0.419472      530000       3.58558       530000       1.39731       1.303E+07    43614.1       1.575        0             
   540000       0.425386     0             540000       0.425386      540000       3.57882       540000       1.42318       1.304E+07    44084.1       1.605        0             
   550000       0.427215     0             550000       0.427215      550000       3.58439       550000       1.44977       1.305E+07    45055.1       1.635        0             
   560000       0.421106     0             560000       0.421106      560000       3.57861       560000       1.47508       1.306E+07    46278.8       1.665        0             
   570000       0.427296     0             570000       0.427296      570000       3.58099       570000       1.50294       1.307E+07    47817.4       1.695        0             
   580000       0.422596     0             580000       0.422596      580000       3.59137       580000       1.52928       1.308E+07    48646.9       1.725        0             
   590000       0.431513     0             590000       0.431513      590000       3.58755       590000       1.55716       1.309E+07    50218.1       1.755        0             
   600000       0.430348     0             600000       0.430348      600000       3.60532       600000       1.58394       1.31E+07     51871.8       1.785        0             
   610000       0.424409     0             610000       0.424409      610000       3.60383       610000       1.61174       1.311E+07    53576.8       1.815        0             
   620000       0.427295     0             620000       0.427295      620000       3.60526       620000       1.63933       1.312E+07    51797.7       1.845        0             
   630000       0.424048     0             630000       0.424048      630000       3.60899       630000       1.66556       1.313E+07    53430.6       1.875        0             
   640000       0.424217     0             640000       0.424217      640000       3.60475       640000       1.69185       1.314E+07    54755.8       1.905        0             
   650000       0.429647     0             650000       0.429647      650000       3.60444       650000       1.71734       1.315E+07    56439.5       1.935        0             
   660000       0.420625     0             660000       0.420625      660000       3.60599       660000       1.74438       1.316E+07    57604.8       1.965        0             
   670000       0.420288     0             670000       0.420288      670000       3.61593       670000       1.76995       1.317E+07    58778.6       1.995        0             
   680000       0.428147     0             680000       0.428147      680000       3.61285       680000       1.79647       1.318E+07    60194.3       2.025        0             
